time_total,x,y,z,vx,vy,vz,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate
e-01,9.990379647692090859e-02,-1.513174013944640905e-01,-4.717322397179735116e-02,3.821708635025346484e-04,-1.367416327774504845e-04,4.846334416963831403e-03,1.802855330906651732e+00,-3.885285895005096226e-04,-1.701687427064185743e-02,-3.310073480280032454e-01
2.500000000000000000e-01,1.490919459838148386e-01,-4.697977122951151885e-01,9.994376867611538817e-02,-1.531382976318920452e-01,-4.115709988939352665e-02,2.680638847583209942e-04,-2.422311695357593029e-03,5.259701311217636170e-03,1.761469595673732735e+00,1.204281692848938783e-03,-1.743856816987457772e-02,-3.309788787101345386e-01
5.000000000000000000e-01,1.297014982692159812e-01,-4.745558733172872135e-01,9.997172031052488361e-02,-1.572606106797634629e-01,-3.518399235867688407e-02,1.859051473687915843e-04,-3.988204028195830621e-03,5.324763766772044014e-03,1.720090604333807338e+00,2.136384910852027336e-03,-6.849417315086756171e-03,-3.309542397678256198e-01
7.500000000000000000e-01,1.097229051755027884e-01,-4.785744505286987915e-01,9.999082109334987700e-02,-1.622171874263853841e-01,-2.934693028604911519e-02,1.250552883912447240e-04,-4.115475798726309434e-03,4.964065787652073049e-03,1.678721532779864578e+00,4.069606580635128437e-03,4.616128210701292943e-03,-3.309423397320046534e-01
1.000000000000000000e+00,8.916465843894900989e-02,-4.818865486299367396e-01,1.000035868941498013e-01,-1.663317055982332371e-01,-2.393348657731965076e-02,8.364483175997964497e-05,-3.149959899289846502e-03,4.193020293875453913e-03,1.637358249271387178e+00,6.881053359896761520e-03,1.044315858331077568e-02,-3.309422434515939537e-01
1.250000000000000000e+00,6.819964286833643530e-02,-4.845741844740680815e-01,1.000122501684679172e-01,-1.687263316023789872e-01,-1.940791089588663268e-02,5.790842767152442385e-05,-1.895170986382812076e-03,3.104922364732282548e-03,1.595994737761292637e+00,9.313072218520337606e-03,9.432393105209159814e-03,-3.309479612013840333e-01
1.500000000000000000e+00,4.704292631444582234e-02,-4.867775119379099680e-01,1.000183632368962794e-01,-1.695472934470192150e-01,-1.619447682922560416e-02,4.154039868591502321e-05,-1.035158425109247498e-03,1.867154599546914061e-03,1.554628085216218647e+00,9.990764419903017807e-03,4.202604483152947747e-03,-3.309531340199468596e-01
1.750000000000000000e+00,2.584314242713438292e-02,-4.886738610791377946e-01,1.000227790554944762e-01,-1.695998396187356760e-01,-1.443985791886572174e-02,3.010202010175876272e-05,-8.492892006440090364e-04,7.125110933534391103e-04,1.513259072501726310e+00,8.173279342824059379e-03,-1.510494798872397517e-03,-3.309554352221315554e-01
2.000000000000000000e+00,4.636357452921171726e-03,-4.904332363749218104e-01,1.000259706271715981e-01,-1.697867785755776404e-01,-1.388509761184139601e-02,2.164677449727774901e-05,-1.234690827072932370e-03,-9.539852967678845669e-05,1.471889466880557329e+00,4.015041491988634303e-03,-5.005791171003149895e-03,-3.309572830858890646e-01
2.250000000000000000e+00,-1.663601771645238300e-02,-4.921676850802418901e-01,1.000282433243618319e-01,-1.706813791386818657e-01,-1.389077532583508218e-02,1.521405879528636011e-05,-1.898791252962690225e-03,-3.256705433352636257e-04,1.430519693601619569e+00,-1.576333664713185393e-03,-5.445184407017134021e-03,-3.309626163718457081e-01
2.500000000000000000e+00,-3.807326051417187635e-02,-4.938924678491153353e-01,1.000298176919082183e-01,-1.723750867734831493e-01,-1.358791220577440853e-02,1.041017331048907157e-05,-2.560044255349478576e-03,1.470784159627150139e-04,1.389148832689207191e+00,-7.285511850489505802e-03,-3.526401761253003097e-03,-3.309733197182570530e-01
2.750000000000000000e+00,-5.975882602611685968e-02,-4.955109300680277662e-01,1.000309039487105589e-01,-1.745649822370569371e-01,-1.209286644439479426e-02,7.383355063107616011e-06,-3.058580991000101404e-03,1.290726855276552558e-03,1.347775936121274887e+00,-1.177020943148679964e-02,-6.334483965425790437e-04,-3.309878484906979002e-01
3.000000000000000000e+00,-8.172381137272735629e-02,-4.968267970305163539e-01,1.000317271636938093e-01,-1.767598910830876779e-01,-8.721249321747703495e-03,6.063995062365324428e-06,-3.363286271964284480e-03,2.907748606685047615e-03,1.306400908340000777e+00,-1.398434858068562867e-02,1.936139559535385605e-03,-3.310018870496628796e-01
3.250000000000000000e+00,-1.039372634250805283e-01,-4.975802514624680373e-01,1.000324468427500751e-01,-1.784877784287219882e-01,-3.149181101492134170e-03,5.465123751545090118e-06,-3.517796370658076831e-03,4.676432510668582405e-03,1.265024486907557089e+00,-1.340260325477173747e-02,3.371625708571210876e-03,-3.310100987178207776e-01
3.500000000000000000e+00,-1.263186010244608248e-01,-4.974988856597402087e-01,1.000330561596242396e-01,-1.794382264450697095e-01,4.510932150737130726e-03,4.095367668521272363e-06,-3.579643569179561096e-03,6.227517873657421703e-03,1.223647889622075491e+00,-1.012494922797554410e-02,3.390345832860911218e-03,-3.310083861317325571e-01
3.750000000000000000e+00,-1.487627223369975826e-01,-4.963518048922505588e-01,1.000333939496783897e-01,-1.795265994202915882e-01,1.373294177388255377e-02,1.154329858531913823e-06,-3.586659570419443305e-03,7.231912971394100637e-03,1.182272501574974655e+00,-4.848839528088668901e-03,2.094163428049797878e-03,-3.309958755262458197e-01
